geofence_risk,anomalies,time_of_day,movement_speed_kmh,historical_incidents_nearby,label
9,5,17,5.56,3,danger
2,0,6,0.1,3,safe
4,1,15,3.49,0,warning
5,5,15,4.44,3,danger
9,0,14,2.1,0,warning
5,1,5,5.52,1,warning
3,0,8,1.3,1,safe
2,0,6,1.91,3,safe
3,1,13,16.45,2,warning
0,1,10,2.14,1,safe
3,0,20,2.13,2,safe
0,4,15,4.53,0,warning
0,1,5,17.7,2,safe
9,5,21,20.4,2,danger
5,2,15,4.33,1,warning
4,3,19,0.01,3,danger
10,0,15,11.55,2,danger
3,0,11,4.22,1,safe
10,3,16,2.28,1,danger
2,4,4,8.84,0,warning
0,3,12,2.55,1,warning
5,1,7,0.17,1,warning
1,3,23,8.6,1,warning
7,0,4,3.95,0,warning
9,3,11,2.06,0,danger
4,2,8,1.44,1,warning
6,5,2,4.5,0,danger
9,1,2,1.17,2,danger
1,3,0,1.96,0,warning
7,0,21,5.06,1,warning
1,5,17,10.67,1,warning
3,1,23,3.81,1,warning
0,0,11,7.12,0,safe
4,4,8,7.2,1,danger
8,2,8,5.46,1,danger
0,4,17,1.41,3,warning
8,2,17,10.08,4,danger
10,3,6,2.87,2,danger
7,1,3,0.23,1,warning
5,3,12,1.4,2,danger
6,2,16,7.25,1,warning
2,2,23,0.36,5,warning
0,2,1,0.8,0,safe
4,5,13,5.92,0,danger
1,0,2,11.16,0,safe
4,1,4,5.02,6,warning
7,3,13,1.26,0,danger
10,3,2,0.27,1,danger
8,4,22,4.77,2,danger
1,2,6,0.24,0,safe
2,2,17,4.74,2,warning
2,2,12,1.28,0,warning
0,3,22,11.75,2,warning
7,4,21,3.22,1,danger
5,0,9,1.27,2,warning
7,5,12,9.59,1,danger
10,1,15,1.47,0,danger
8,0,8,1.83,2,warning
4,3,1,8.99,1,warning
2,5,22,1.85,2,danger
4,5,4,2.64,0,danger
4,5,21,2.14,1,danger
4,2,16,0.62,2,warning
2,1,22,0.2,2,warning
10,3,21,6.45,4,danger
9,3,3,5.18,0,danger
3,5,16,1.66,4,danger
8,3,8,1.75,3,danger
9,1,19,14.5,1,danger
8,1,1,21.98,1,danger
1,4,23,3.21,1,warning
7,4,17,8.11,5,danger
7,0,20,6.67,2,warning
6,1,21,1.76,2,warning
7,1,10,0.3,2,warning
2,1,12,0.77,2,safe
5,4,7,9.11,1,danger
0,5,0,6.57,2,warning
6,5,16,5.46,5,danger
0,3,11,0.7,0,safe
8,5,3,5.11,2,danger
0,2,20,7.4,1,safe
0,4,12,9.85,0,warning
6,1,8,0.07,0,warning
1,5,6,5.77,2,warning
4,4,22,0.1,1,danger
7,5,23,6.14,1,danger
7,0,4,5.05,2,warning
2,1,4,0.8,0,safe
6,0,16,7.26,0,warning
2,1,8,0.35,5,warning
5,4,5,8.75,1,danger
5,3,18,1.52,3,danger
2,5,15,5.84,2,danger
6,5,20,12.86,1,danger
2,2,1,2.08,0,warning
7,0,9,3.49,3,warning
9,5,15,3.11,2,danger
3,4,4,0.86,2,danger
0,3,14,4.46,1,warning
3,4,12,6.79,0,warning
6,0,12,12.44,1,warning
10,2,12,9.51,3,danger
3,5,14,3.57,0,danger
5,4,13,6.35,3,danger
8,1,7,8.07,1,danger
0,3,10,3.4,2,warning
4,4,17,0.61,1,danger
10,3,23,2.88,1,danger
6,5,3,9.24,4,danger
0,1,9,4.54,4,safe
3,2,0,6.45,2,warning
5,2,4,1.02,0,warning
1,1,12,16.67,0,safe
9,3,0,2.59,0,danger
4,5,22,5.3,0,danger
10,4,7,0.1,1,danger
9,1,2,0.68,0,danger
0,0,2,7.62,4,safe
5,3,6,17.21,0,warning
5,2,3,1.93,3,danger
3,1,2,0.19,0,warning
7,2,14,2.24,1,danger
3,3,7,0.09,4,warning
7,2,2,1.07,3,danger
7,1,6,6.98,2,warning
4,3,17,13.83,1,warning
3,0,10,0.46,2,safe
1,1,10,4.08,0,safe
10,4,16,1.46,2,danger
2,5,5,0.75,0,danger
2,1,7,1.24,1,safe
3,3,0,4.31,1,warning
3,5,9,0.34,1,danger
9,1,18,2.85,0,danger
10,0,2,0.73,2,danger
10,0,3,1.59,1,danger
4,4,10,1.06,1,danger
3,2,14,10.73,1,warning
10,5,0,6.16,2,danger
9,3,8,10.14,0,danger
7,3,10,2.42,0,danger
5,2,18,1.88,4,danger
5,0,12,2.39,1,warning
7,0,15,0.09,0,warning
6,1,3,6.45,5,danger
9,4,0,2.15,4,danger
10,5,19,1.88,2,danger
9,4,12,4.56,0,danger
7,4,0,2.87,1,danger
1,1,4,19.78,1,safe
8,4,4,2.2,0,danger
0,2,13,4.76,2,safe
7,1,22,1.87,2,danger
10,2,13,23.33,1,danger
3,1,7,2.94,0,safe
3,4,3,5.03,2,danger
4,2,6,0.68,0,warning
7,2,19,6.6,2,danger
4,2,18,1.57,0,warning
7,1,14,2.98,0,warning
9,3,21,10.73,1,danger
0,4,3,17.63,1,warning
9,2,18,2.76,0,danger
8,5,8,9.0,0,danger
5,3,20,0.27,1,danger
2,5,12,9.41,2,danger
7,4,13,4.96,4,danger
8,4,22,3.35,0,danger
5,2,13,11.03,2,warning
10,2,21,9.33,0,danger
6,1,9,1.76,2,warning
0,3,15,7.84,2,warning
4,3,4,0.52,1,warning
4,2,22,8.65,2,warning
9,4,5,5.63,0,danger
3,2,1,0.46,1,warning
5,4,12,5.75,3,danger
6,4,12,4.34,0,danger
8,2,18,4.51,1,danger
0,0,17,1.72,5,safe
5,3,18,1.55,2,danger
6,5,0,7.19,2,danger
2,4,7,1.48,2,warning
7,4,21,2.96,1,danger
4,0,15,5.93,5,warning
8,5,1,0.41,4,danger
4,1,7,4.51,1,warning
8,0,5,4.45,2,warning
9,5,15,5.76,0,danger
3,0,22,2.31,2,safe
8,4,10,2.98,1,danger
4,3,16,2.0,0,warning
9,0,22,8.26,4,danger
8,1,18,0.7,3,danger
2,2,10,16.48,2,warning
3,5,7,5.04,3,danger
8,0,21,10.9,1,warning
9,0,3,2.78,2,danger
10,1,10,2.02,2,danger
5,3,7,11.55,4,danger
1,0,8,0.52,4,safe
6,0,1,0.62,1,warning
1,3,15,1.78,1,warning
10,1,5,16.07,4,danger
1,5,20,5.01,2,warning
10,5,20,4.04,0,danger
0,0,18,6.11,1,safe
10,3,7,2.7,4,danger
10,0,13,7.1,2,danger
10,2,23,2.5,2,danger
2,5,15,8.75,2,danger
5,4,11,1.56,0,danger
7,2,4,1.63,4,danger
8,0,23,3.69,1,warning
6,1,23,2.82,0,warning
3,5,18,5.22,0,danger
5,4,17,2.27,0,danger
4,2,8,1.31,2,warning
7,5,1,3.17,1,danger
0,3,19,4.12,3,warning
0,1,11,0.77,2,safe
10,2,1,4.07,0,danger
5,3,9,1.92,2,danger
9,0,0,2.49,0,warning
1,3,3,1.64,1,warning
4,2,11,13.4,0,warning
0,2,8,5.75,3,safe
6,0,3,1.52,1,warning
0,3,8,5.18,4,warning
3,3,5,9.44,1,warning
8,0,0,2.57,0,warning
0,3,9,8.86,2,warning
3,5,13,0.84,3,danger
5,0,21,8.65,0,warning
5,1,17,3.89,2,warning
7,2,5,1.26,3,danger
0,1,17,2.61,0,safe
6,5,19,22.11,2,danger
0,5,15,7.65,1,warning
6,4,14,4.28,3,danger
2,4,15,0.61,1,warning
10,4,7,2.7,1,danger
7,0,12,1.53,0,warning
2,3,22,0.37,2,warning
0,5,10,3.91,0,warning
7,1,6,11.0,2,warning
2,1,16,5.63,1,safe
1,1,17,1.44,3,safe
0,1,21,4.26,0,safe
2,4,22,14.34,0,warning
1,1,18,6.42,1,safe
1,3,12,5.85,1,warning
5,4,14,17.23,1,danger
0,1,22,8.02,0,safe
1,0,21,0.73,1,safe
5,2,21,2.14,2,warning
2,2,0,16.78,1,warning
3,2,15,3.36,2,warning
0,4,4,0.59,1,warning
7,1,2,3.07,0,warning
6,5,22,5.97,0,danger
6,5,9,30.05,3,danger
2,5,18,1.96,0,warning
9,4,4,3.61,4,danger
9,3,6,10.59,0,danger
2,0,13,2.19,0,safe
1,0,2,0.58,4,safe
0,2,12,14.87,3,safe
6,2,12,3.35,3,danger
6,5,9,3.49,0,danger
1,5,1,4.85,1,warning
6,2,5,0.02,1,danger
7,1,7,13.38,2,warning
0,3,3,2.24,0,warning
8,3,11,2.53,2,danger
6,3,14,0.96,0,danger
2,3,7,2.38,2,warning
7,2,6,8.15,2,danger
6,0,13,8.05,1,warning
10,2,22,13.73,0,danger
7,3,18,2.58,0,danger
5,2,13,6.17,2,warning
8,3,21,3.54,0,danger
4,4,12,8.15,0,danger
2,5,20,6.23,1,danger
2,0,0,2.29,1,safe
0,4,18,2.05,1,warning
7,1,0,1.45,1,warning
1,2,3,4.3,3,warning
2,1,9,16.6,1,safe
7,2,2,1.12,0,danger
7,5,19,0.5,3,danger
10,4,8,0.64,1,danger
3,5,2,7.64,1,danger
3,3,5,2.15,2,warning
4,5,5,1.27,2,danger
5,5,22,2.18,2,danger
4,3,11,5.18,0,warning
6,2,22,3.96,0,warning
1,3,0,6.8,2,warning
6,4,15,2.07,0,danger
9,5,23,3.01,1,danger
6,3,4,0.54,1,danger
0,5,8,0.38,3,warning
6,4,9,3.1,1,danger
4,1,12,1.79,0,warning
2,4,14,4.74,3,warning
2,0,11,0.22,1,safe
3,0,4,0.65,0,safe
1,0,4,10.02,2,safe
1,5,17,4.18,1,warning
0,2,11,6.22,0,safe
4,2,2,9.22,1,warning
3,2,6,3.12,3,warning
10,5,16,7.16,1,danger
9,4,18,3.72,3,danger
1,2,17,1.26,0,safe
2,1,0,2.06,0,safe
6,0,23,3.37,2,warning
6,4,4,1.91,0,danger
3,0,1,2.04,2,safe
4,2,0,2.06,1,warning
4,4,6,0.66,1,danger
5,3,10,0.44,2,danger
8,1,10,0.24,1,danger
1,2,17,0.59,2,warning
4,2,16,2.11,0,warning
2,1,1,4.51,1,safe
3,1,6,1.04,1,warning
9,3,6,10.95,3,danger
5,2,9,8.26,0,warning
7,5,21,3.68,1,danger
0,2,20,6.44,2,safe
9,0,2,2.28,1,danger
7,4,11,0.19,0,danger
10,4,2,11.73,3,danger
6,0,10,0.68,1,warning
0,4,11,14.78,2,warning
1,1,3,4.24,3,safe
2,4,15,1.82,0,warning
0,4,19,3.42,0,warning
8,0,17,3.48,0,warning
7,3,3,0.12,4,danger
1,4,21,2.2,3,warning
8,5,5,6.73,2,danger
6,4,20,3.57,0,danger
8,3,14,1.4,2,danger
5,0,0,2.04,1,warning
5,3,2,9.94,2,danger
10,0,4,3.73,1,danger
3,1,21,3.76,2,warning
9,0,16,16.28,2,danger
9,1,13,1.93,1,danger
1,1,8,3.27,0,safe
6,0,2,8.35,3,warning
4,5,12,7.11,3,danger
10,2,2,1.54,3,danger
5,0,10,0.82,1,warning
1,4,1,6.03,3,warning
4,5,23,1.49,4,danger
9,5,14,12.8,0,danger
3,4,12,0.69,2,danger
8,2,18,1.92,1,danger
5,5,21,0.28,4,danger
1,1,15,6.08,2,safe
0,2,17,11.09,0,safe
4,4,6,5.05,3,danger
8,2,12,13.88,0,danger
5,0,3,0.69,1,warning
9,2,8,0.46,3,danger
6,1,9,9.11,0,warning
4,0,8,9.67,3,warning
9,3,6,8.89,2,danger
5,4,14,8.02,1,danger
4,4,7,2.25,2,danger
10,2,18,1.23,3,danger
8,5,10,13.21,0,danger
5,0,4,1.83,3,warning
10,3,1,2.54,4,danger
7,0,9,6.01,1,warning
1,4,15,1.74,0,warning
8,0,22,8.55,1,warning
4,3,12,0.36,2,warning
6,5,7,7.83,3,danger
9,2,8,4.6,2,danger
0,1,10,4.25,2,safe
9,0,10,3.07,2,danger
4,1,22,1.62,0,warning
9,4,15,3.12,0,danger
1,2,9,2.99,1,safe
5,2,23,4.38,0,warning
10,0,11,1.65,2,danger
0,5,5,0.4,2,warning
2,2,11,0.78,4,warning
4,0,9,6.01,3,warning
3,0,17,0.11,4,warning
2,1,17,9.71,0,safe
9,2,3,5.93,1,danger
4,0,8,7.31,3,warning
10,1,6,9.04,2,danger
7,3,17,0.65,0,danger
10,1,7,8.64,1,danger
3,1,10,3.51,1,warning
0,0,6,10.84,0,safe
10,4,8,10.88,2,danger
6,4,7,0.12,2,danger
7,5,2,2.41,0,danger
2,4,16,3.74,0,warning
5,1,1,5.67,1,warning
1,5,14,1.69,0,warning
6,0,13,1.45,1,warning
7,2,17,2.4,2,danger
5,1,15,3.48,1,warning
5,1,19,15.09,2,warning
4,5,21,7.18,2,danger
7,0,3,2.8,1,warning
0,3,19,0.28,1,warning
9,1,5,0.92,2,danger
3,3,5,3.04,1,warning
3,3,10,8.41,2,warning
2,4,16,2.4,2,warning
2,0,23,3.87,1,safe
3,3,2,11.12,2,warning
10,0,12,12.26,1,danger
0,4,21,1.22,3,warning
10,0,2,0.22,1,danger
10,1,15,1.82,0,danger
1,3,14,5.95,3,warning
8,0,10,15.09,1,warning
9,2,17,0.4,2,danger
1,0,14,0.14,2,safe
4,3,4,10.78,2,danger
8,4,15,6.89,1,danger
8,4,15,24.3,3,danger
7,3,16,2.53,0,danger
0,1,8,2.69,1,safe
0,1,22,0.95,1,safe
8,4,2,0.62,3,danger
10,4,19,4.32,1,danger
7,3,12,2.27,1,danger
9,1,21,0.42,3,danger
8,4,2,10.9,2,danger
6,1,6,1.11,3,warning
2,4,5,6.9,1,warning
2,0,8,1.66,1,safe
1,2,11,8.38,0,safe
4,5,14,0.63,1,danger
2,0,20,7.05,2,safe
5,5,19,0.52,1,danger
1,4,2,2.96,3,warning
2,2,9,6.62,1,warning
4,2,0,0.95,1,warning
10,4,18,1.68,1,danger
10,4,18,10.0,1,danger
0,1,22,10.82,0,safe
0,4,22,0.23,3,warning
9,3,12,0.92,0,danger
8,4,11,0.62,1,danger
6,3,0,0.99,3,danger
0,4,18,17.56,2,warning
7,1,23,4.01,0,warning
2,3,15,3.16,1,warning
7,0,22,20.82,0,warning
4,3,22,4.07,3,danger
0,1,14,5.41,2,safe
6,5,15,2.02,3,danger
4,3,10,2.41,2,warning
5,4,23,4.51,3,danger
5,4,5,0.36,1,danger
7,5,10,1.48,0,danger
8,1,2,1.1,2,danger
1,2,14,0.08,3,warning
8,4,0,3.85,3,danger
10,0,6,4.12,1,danger
9,1,0,2.42,1,danger
8,3,16,1.56,1,danger
9,3,8,5.28,0,danger
9,0,22,0.72,2,danger
6,4,12,3.66,2,danger
0,1,10,7.31,3,safe
6,0,19,0.9,1,warning
9,4,5,7.0,1,danger
4,1,0,7.15,0,warning
5,3,6,0.31,3,danger
9,1,11,0.09,0,danger
6,5,21,18.24,2,danger
4,2,19,1.07,1,warning
6,1,22,8.63,1,warning
8,2,18,4.13,0,danger
2,1,16,1.54,0,safe
7,2,3,0.7,1,danger
1,5,2,3.43,1,warning
10,3,0,2.62,0,danger
6,4,17,6.0,0,danger
1,2,20,11.73,3,warning
3,5,14,8.18,0,danger
6,2,7,1.6,0,warning
2,3,0,10.56,3,warning
1,2,19,8.96,1,safe
10,5,13,13.23,0,danger
9,5,3,3.07,2,danger
6,0,4,7.32,3,warning
0,3,22,4.48,2,warning
7,0,12,1.86,1,warning
2,3,23,25.95,1,warning
1,2,14,0.2,2,warning
2,5,5,0.89,1,danger
4,0,0,11.15,1,warning
10,2,22,0.31,0,danger
7,5,18,10.89,1,danger
9,3,12,6.28,0,danger
6,5,5,0.19,0,danger
6,2,14,2.8,1,warning
6,0,15,7.02,3,warning
7,0,23,4.37,1,warning
0,5,22,13.73,1,warning
3,2,15,10.11,2,warning
5,1,9,2.02,1,warning
8,3,21,0.44,2,danger
1,3,8,14.44,3,warning
0,2,8,3.64,2,safe
9,1,16,0.39,0,danger
1,0,16,8.48,1,safe
6,4,16,10.14,0,danger
2,4,23,5.1,2,warning
9,2,11,2.97,0,danger
1,1,12,5.43,3,safe
10,1,11,6.13,2,danger
6,3,13,11.18,0,danger
1,0,9,15.6,1,safe
2,5,22,3.61,1,danger
10,1,18,8.01,1,danger
6,5,1,16.69,0,danger
3,4,3,0.82,3,danger
0,5,18,0.09,2,warning
4,0,6,10.16,3,warning
8,0,14,1.09,1,warning
7,5,14,0.22,0,danger
8,2,23,0.87,1,danger
9,1,5,2.42,1,danger
8,2,2,1.24,2,danger
6,5,5,1.82,3,danger
3,1,15,18.5,0,safe
4,3,1,6.09,1,warning
0,2,6,6.23,2,safe
0,2,10,0.5,2,safe
2,5,6,6.59,2,danger
7,4,3,6.72,2,danger
1,5,23,5.39,1,warning
3,2,19,1.3,2,warning
1,1,6,2.75,4,safe
4,4,3,9.36,1,danger
8,5,11,5.55,2,danger
0,5,4,6.6,2,warning
4,2,22,4.43,1,warning
8,2,18,2.99,0,danger
0,3,4,7.12,2,warning
8,5,18,0.35,0,danger
7,2,20,5.59,1,danger
3,0,2,29.4,3,warning
10,4,10,7.58,2,danger
9,0,6,1.72,1,warning
4,4,16,1.63,4,danger
4,5,8,5.5,1,danger
10,3,20,11.31,1,danger
5,2,8,4.31,3,warning
6,2,9,3.75,1,warning
7,2,12,0.87,1,danger
7,5,14,6.28,2,danger
10,4,21,6.06,1,danger
1,2,4,17.05,1,warning
8,0,2,1.78,0,warning
6,2,7,7.06,6,danger
3,5,19,2.85,1,danger
3,3,9,4.09,1,warning
10,0,12,8.48,1,danger
7,2,2,1.26,2,danger
3,2,21,2.1,0,warning
5,1,7,7.42,1,warning
4,4,8,4.23,2,danger
2,0,21,0.48,1,safe
9,1,20,2.81,2,danger
10,3,11,4.42,0,danger
1,4,10,12.01,2,warning
8,0,1,1.04,0,warning
9,2,17,8.2,1,danger
8,0,8,0.7,2,warning
0,2,1,1.39,3,warning
9,4,1,1.39,2,danger
2,2,2,10.5,2,warning
7,3,15,1.11,3,danger
5,5,18,7.73,6,danger
4,2,3,3.1,1,warning
4,3,22,35.01,2,danger
5,5,17,9.13,2,danger
6,4,19,6.73,1,danger
0,4,17,10.23,0,warning
8,0,9,5.03,2,warning
2,3,10,9.28,3,warning
3,3,16,1.51,2,warning
9,1,23,0.51,1,danger
0,1,22,4.78,2,safe
10,5,23,2.85,3,danger
9,5,19,2.78,0,danger
2,1,15,3.74,2,safe
1,5,19,2.24,4,danger
1,2,12,4.92,0,safe
0,1,1,0.16,0,safe
7,3,23,17.51,1,danger
2,2,1,12.93,1,warning
2,5,13,13.69,1,danger
5,4,3,2.27,2,danger
7,0,16,3.8,3,warning
8,1,12,15.41,2,danger
8,4,3,11.63,1,danger
3,5,2,7.81,4,danger
4,3,11,2.62,2,warning
1,0,21,4.15,1,safe
10,4,22,7.87,0,danger
8,0,7,1.59,6,danger
7,1,1,4.92,1,warning
2,5,5,8.8,1,danger
10,3,21,6.15,3,danger
8,5,9,3.26,2,danger
2,0,11,4.39,1,safe
8,4,20,22.4,2,danger
1,1,9,4.61,0,safe
9,1,9,7.7,4,danger
8,5,22,6.48,2,danger
7,4,2,6.04,3,danger
8,4,19,6.3,1,danger
4,0,9,3.03,0,safe
10,5,8,3.21,1,danger
10,5,19,3.15,1,danger
1,2,18,0.17,1,safe
7,5,13,1.38,1,danger
5,1,1,0.84,2,warning
7,0,4,10.88,2,warning
10,4,19,1.61,3,danger
4,5,7,0.75,1,danger
9,0,6,0.64,2,danger
1,5,5,6.02,2,danger
5,4,10,0.03,1,danger
4,3,11,3.19,2,warning
4,4,17,0.63,3,danger
0,4,18,9.47,1,warning
1,4,9,15.9,0,warning
7,5,20,15.94,3,danger
2,2,13,2.92,0,warning
9,4,2,5.17,3,danger
2,1,17,4.58,1,safe
7,1,23,2.15,2,danger
7,0,14,2.94,3,warning
1,2,5,0.33,1,warning
7,0,9,7.94,2,warning
10,1,11,1.38,0,danger
0,1,6,3.09,3,safe
5,3,16,3.28,1,danger
7,4,0,4.11,6,danger
2,1,17,8.52,4,warning
7,5,14,5.89,1,danger
0,5,18,5.44,1,warning
10,0,0,3.74,4,danger
10,0,4,0.5,1,danger
8,4,14,2.57,1,danger
10,4,2,15.77,0,danger
8,3,0,27.07,3,danger
4,2,7,6.56,0,warning
9,0,11,1.29,3,danger
3,4,21,0.54,2,danger
10,0,18,2.68,1,danger
5,4,11,9.71,0,danger
6,1,12,6.4,1,warning
4,0,0,10.77,2,warning
10,1,18,4.78,2,danger
9,0,5,0.7,1,danger
8,2,7,0.61,1,danger
2,3,3,0.25,1,warning
6,5,4,4.19,0,danger
9,5,21,1.39,1,danger
9,5,6,6.63,4,danger
10,1,22,5.8,2,danger
4,4,3,1.91,2,danger
6,5,19,0.97,2,danger
1,2,3,0.54,2,warning
3,5,14,6.68,1,danger
1,0,20,2.99,4,safe
6,1,4,1.95,0,warning
1,0,23,9.71,4,safe
10,0,8,4.5,0,danger
0,0,1,3.65,1,safe
8,3,6,6.8,0,danger
0,3,16,8.45,2,warning
7,4,15,5.79,1,danger
1,1,16,2.9,1,safe
7,2,19,2.38,2,danger
2,2,22,7.38,0,warning
5,2,1,3.65,1,warning
2,0,10,6.09,1,safe
6,3,1,11.05,2,danger
9,1,0,12.38,0,danger
8,0,1,1.63,2,warning
1,3,22,1.04,1,warning
4,3,8,1.51,2,warning
5,5,21,6.96,1,danger
3,5,1,2.31,0,danger
3,1,14,0.95,3,warning
3,1,9,0.52,1,warning
1,1,14,1.98,3,safe
3,0,9,0.73,0,safe
10,4,22,0.85,1,danger
0,1,16,5.76,1,safe
5,5,8,0.1,1,danger
0,4,17,0.63,0,warning
9,0,3,9.3,2,danger
5,4,8,9.32,0,danger
0,2,15,2.0,0,safe
5,4,3,0.46,1,danger
9,1,15,6.1,1,danger
7,0,18,2.23,0,warning
10,1,0,0.23,1,danger
1,5,22,0.86,3,danger
1,2,5,0.74,1,warning
3,5,9,4.45,2,danger
10,1,15,11.42,3,danger
2,1,3,7.88,3,warning
3,1,21,3.95,0,safe
6,3,21,2.74,2,danger
10,2,12,4.82,1,danger
0,1,15,2.93,1,safe
5,1,19,1.41,1,warning
2,5,5,5.68,3,danger
10,5,10,10.33,0,danger
9,1,23,2.33,0,danger
6,0,2,9.21,0,warning
9,3,19,2.82,0,danger
1,5,9,2.57,0,warning
1,0,0,0.14,5,safe
3,3,19,5.94,0,warning
0,1,10,8.24,0,safe
2,2,11,5.45,4,warning
8,4,13,0.82,1,danger
6,4,7,0.55,3,danger
6,1,10,4.25,1,warning
10,5,3,2.57,1,danger
3,0,6,2.8,0,safe
1,2,9,17.18,2,warning
3,3,18,6.44,2,warning
5,1,3,2.65,0,warning
10,2,1,0.1,3,danger
10,2,20,0.17,2,danger
2,5,17,5.77,2,danger
0,3,13,9.09,2,warning
7,2,15,6.15,2,danger
4,5,21,2.6,3,danger
4,0,10,0.16,2,warning
10,5,9,17.12,3,danger
3,0,16,21.46,2,warning
5,0,13,3.99,3,warning
2,2,21,0.37,3,warning
8,5,3,3.89,0,danger
4,0,18,11.14,0,safe
2,3,1,5.7,1,warning
10,2,6,6.36,3,danger
0,5,8,0.44,2,warning
9,5,18,0.56,1,danger
5,4,15,0.68,0,danger
1,5,21,11.74,3,danger
2,2,15,3.73,3,warning
0,3,17,7.84,2,warning
8,5,22,0.61,0,danger
7,4,20,13.13,1,danger
1,2,20,8.61,1,safe
10,0,10,1.27,0,danger
7,1,6,10.36,2,warning
8,1,8,1.53,2,danger
0,0,3,1.15,0,safe
4,5,12,1.53,1,danger
7,1,3,12.04,0,warning
10,1,18,12.36,3,danger
1,0,1,1.99,1,safe
3,5,8,6.11,0,danger
6,5,11,5.63,3,danger
2,0,1,8.21,0,safe
4,5,5,1.76,0,danger
7,5,4,3.57,1,danger
9,2,4,5.51,2,danger
2,2,19,0.13,0,warning
3,0,21,2.36,1,safe
8,3,4,5.95,0,danger
6,1,3,1.46,1,warning
0,2,8,15.82,1,safe
3,1,21,0.15,3,warning
3,4,9,15.86,4,danger
8,0,15,1.22,3,warning
5,3,9,0.25,1,danger
8,4,9,1.73,4,danger
5,4,18,7.72,1,danger
5,5,9,6.98,2,danger
4,4,5,1.17,1,danger
4,0,16,1.1,0,safe
1,2,4,5.14,1,warning
7,0,5,3.06,0,warning
7,2,23,7.86,1,danger
10,4,14,0.12,1,danger
0,4,18,4.71,2,warning
7,3,17,6.56,1,danger
4,2,3,25.09,3,danger
1,4,7,5.68,2,warning
1,5,15,1.32,0,warning
5,1,23,0.57,4,warning
10,3,18,5.12,1,danger
8,0,19,3.7,2,warning
0,3,2,11.47,0,warning
5,1,9,6.48,1,warning
8,2,1,3.56,2,danger
7,0,3,2.58,2,warning
10,0,5,2.59,1,danger
5,2,10,1.28,2,warning
2,3,13,0.09,2,warning
7,4,15,4.28,0,danger
8,3,20,1.19,5,danger
0,1,18,1.17,1,safe
8,5,1,0.67,1,danger
5,4,16,1.05,3,danger
5,3,8,0.16,0,warning
3,5,16,5.61,2,danger
0,5,14,2.57,3,warning
9,2,6,4.12,2,danger
7,1,21,5.07,2,warning
1,1,22,17.97,1,safe
0,1,18,0.35,2,safe
1,4,2,2.71,1,warning
0,0,0,1.41,3,safe
0,4,3,3.24,1,warning
8,3,17,12.66,0,danger
0,5,7,6.44,1,warning
3,5,18,5.42,1,danger
9,0,22,2.91,1,danger
5,3,22,5.56,0,danger
6,0,5,0.16,0,warning
1,5,0,4.41,1,warning
5,4,7,4.03,0,danger
6,1,0,2.13,0,warning
9,5,18,1.13,4,danger
9,2,10,8.24,2,danger
1,1,20,0.28,2,safe
1,5,23,0.36,4,danger
9,4,14,2.9,1,danger
6,0,22,1.46,0,warning
0,1,10,6.84,1,safe
7,4,18,5.03,2,danger
10,3,20,7.4,0,danger
2,2,9,1.96,3,warning
10,1,23,6.75,1,danger
5,0,11,9.91,3,warning
8,3,0,2.12,2,danger
5,4,23,2.08,2,danger
8,2,6,11.51,2,danger
6,0,16,0.26,1,warning
8,4,9,2.16,1,danger
1,4,5,0.63,2,warning
7,1,16,0.15,1,warning
7,1,17,0.6,1,warning
1,0,4,2.82,2,safe
3,5,17,5.81,0,danger
10,5,16,1.71,1,danger
6,4,21,9.47,2,danger
10,1,15,2.88,0,danger
3,2,7,17.25,0,warning
3,2,23,15.41,1,warning
5,4,12,7.42,2,danger
9,1,23,13.47,0,danger
5,0,15,6.14,2,warning
9,0,10,11.3,1,warning
2,0,5,1.35,1,safe
8,2,2,2.12,2,danger
9,1,0,6.99,1,danger
10,1,17,2.76,0,danger
1,2,4,9.08,1,warning
5,0,12,10.5,0,warning
6,0,9,1.78,2,warning
8,4,4,8.67,1,danger
2,5,13,0.84,1,danger
9,3,16,2.03,3,danger
2,5,0,3.65,2,danger
6,1,1,1.28,1,warning
3,1,6,4.33,3,warning
7,1,9,4.32,1,warning
6,5,19,1.16,0,danger
4,3,6,7.94,2,warning
6,4,23,4.99,1,danger
2,5,15,1.91,1,danger
1,3,4,1.32,0,warning
5,0,11,10.55,0,warning
1,0,16,9.03,2,safe
2,1,15,1.31,1,safe
5,2,19,0.18,2,warning
4,1,15,8.16,1,warning
7,2,18,4.78,2,danger
8,3,14,0.53,1,danger
10,0,11,4.43,1,danger
2,5,20,3.01,2,danger
9,2,9,7.45,3,danger
2,3,21,1.17,2,warning
2,0,1,3.02,1,safe
5,5,6,0.85,4,danger
0,2,12,15.79,0,safe
6,1,2,7.54,1,warning
0,1,14,6.67,2,safe
4,1,0,5.86,2,warning
9,3,2,2.75,0,danger
7,1,9,12.84,3,danger
3,4,14,0.38,2,danger
4,0,21,8.13,0,safe
3,3,5,1.21,0,warning
3,5,19,1.96,0,danger
7,1,14,3.66,1,warning
1,0,23,7.63,2,safe
0,2,20,9.12,2,safe
2,1,6,4.38,3,warning
8,0,20,2.58,0,warning
3,4,4,14.64,2,danger
9,2,3,1.42,2,danger
4,4,21,8.13,0,danger
1,5,17,4.73,0,warning
3,0,2,2.37,4,warning
1,4,16,0.01,0,warning
1,5,17,2.96,2,warning
